 date,  open, close, high, low, volume,Y
20200821,220,218.4,220.98,216.44,157319,1
20200824,219.98,225,226.3,219.19,231522,1
20200825,226,235.6,236.75,225.99,285479,1
20200826,235.4,236.65,239.87,232.2,262100,0
20200827,238.98,238.08,238.98,231.14,213489,1
20200828,235.98,240.5,244.86,233.2,327242,0
20200831,242,240,246.7,240,315715,1
20200901,237.48,236.24,239.8,233.1,300870,0
20200902,235.2,235,239.78,233.8,196331,0
20200903,235.4,238.64,243,235.19,275696,1
20200904,234,230.22,234,226.27,370921,0
20200907,229.35,226.89,233.45,225.1,236227,0
20200908,227.14,221.93,229.35,217.6,357085,1
20200909,218.81,217,220.66,216,227061,0
20200910,220,223.2,225.76,219.96,231541,1
20200911,221.45,227.88,227.88,220.18,204701,0
20200914,229.08,230.08,231.44,224.18,207492,1
20200915,230,230.33,231.4,228,120365,0
20200916,230.74,226.02,232.19,225,184537,1
20200917,222.06,222.65,226,218.9,228016,0
20200918,222.65,229.52,229.52,220.82,190157,0
20200921,228,224.9,229.55,224.47,130285,0
20200922,222.46,222.9,226.77,222,120914,0
20200923,216.6,219.32,221.49,212.46,251795,0
20200924,218.08,216.3,221.37,215.88,163652,0
20200925,217.01,217.2,219.44,216.37,112517,1
20200928,218.34,220.13,222.85,218,152644,1
20200929,222,219.73,222.8,218.77,99721,1
20200930,221,221,225,220.1,162342,1
20201009,225,227.57,229.55,223.29,208934,1
20201012,229,241.75,242.01,229,324557,1
20201013,241.75,242.27,244.6,238.84,171911,0
20201014,241.79,239.4,244.33,238.18,183194,0
20201015,239.51,238.91,240.5,238.34,111761,1
20201016,238.9,236.88,240.82,235.24,118358,0
20201019,240,236.18,241.6,234.6,122901,1
20201020,236,240.98,241,235,179963,0
20201021,240.98,241.77,243.7,239.69,137077,0
20201022,242,241.74,242.99,236.68,150416,1
20201023,240.79,236.63,242.24,236.3,134523,0
20201026,230,232.61,234.59,223,160000,0
20201027,233.01,233.5,235.35,230.7,143027,1
20201028,235,239.98,242,233.42,170762,1
