OPEN-CLOSE,0PEN-EXCLOSE,HIGH-LOW,CLOSE-LOW,CLOSE-HIGH,Y
-0.91,-0.9,2.28,0.58,-1.7,0
1.65,1.07,2.96,2.08,-0.88,1
-0.61,1.1,1.6,0.43,-1.17,1
-1.61,-1.23,3.87,1.39,-2.48,0
3.76,0.07,5.57,4.88,-0.69,1
-0.11,0.9,3.5,0.29,-3.21,1
0.16,0.15,3.92,2.03,-1.89,1
0.19,1.11,3.24,2.32,-0.92,1
3,3.3,6.71,4.49,-2.22,1
-3.5,0,6.15,1.5,-4.65,0
0.27,0,5.18,1.75,-3.43,0
3.71,-1.27,5.07,4.23,-0.84,0
3.53,0.17,4.63,4.54,-0.09,1
0.25,0.74,4.57,1.97,-2.6,1
-1.37,0.32,4.1,0.85,-3.25,1
1.9,-0.85,2.9,2.01,-0.89,0
3.1,0,3.91,3.7,-0.21,0
0.4,-0.1,2.6,1.9,-0.7,0
-2.28,1.2,3.91,1.14,-2.77,1
6.19,-0.22,7.86,6.59,-1.27,0
-1.91,2.14,3.12,1.05,-2.07,1
-1.65,1.08,2.47,0.34,-2.13,1
-0.18,1.01,2.5,0.65,-1.85,1
-6.51,-0.92,7.13,0.6,-6.53,0
3.02,-0.24,6.3,5.93,-0.37,0
0.78,0,2.97,1.66,-1.31,0
-1.66,0.01,2.72,0.48,-2.24,1
0.01,-0.01,3.52,1.66,-1.86,0
3.2,-1.16,3.76,3.37,-0.39,0
8.53,1.86,10.12,8.53,-1.59,1
0.38,-0.2,5.63,0.75,-4.88,0
-2.62,2.09,5.08,1.56,-3.52,1
0.82,-0.21,2.98,1.85,-1.13,0
0.98,0.26,3.08,2.49,-0.59,1
1.11,-0.59,5.65,1.31,-4.34,0
2.03,-0.03,3.99,3.6,-0.39,0
-0.11,0.04,2.7,1.46,-1.24,1
-1.73,-0.74,4.79,2.12,-2.67,0
4.5,-3.07,5.78,5.4,-0.38,0
-2,-2.5,4.38,0.5,-3.88,0
0.58,0.1,2.86,1.28,-1.58,1
-1.38,-0.42,3.6,1.98,-1.62,0
1.76,0.72,2.62,2.4,-0.22,1
7.07,0.14,8.07,7.14,-0.93,1
-1,-1.57,3,2,-1,0
4.98,0,6.32,5.9,-0.42,0
0.2,0.43,4.3,1.61,-2.69,1
0.89,-2,2.7,1.7,-1,0
2.58,1.04,3.17,2.62,-0.55,1
10.86,0,13.98,10.86,-3.12,0
9.49,-1.98,12.46,9.61,-2.85,0
-1.27,0.5,8,6.22,-1.78,1
4.11,-0.01,10.44,7.26,-3.18,0
9.11,-0.04,16.06,11.57,-4.49,0
1.86,-0.39,6.8,4.36,-2.44,0
0.33,0.03,3.86,2.22,-1.64,1
4,-0.72,11,6.2,-4.8,0
11.2,0,18,11.2,-6.8,0
2.6,0.1,13.3,8.87,-4.43,1
4.95,-1.9,8.4,6.35,-2.05,0
-19.44,-2.95,19.49,0,-19.49,0
10.39,-6.56,14.7,10.39,-4.31,0
-3.82,0.11,17.49,10.67,-6.82,1
4.58,-0.68,10.1,6.78,-3.32,0
4.65,-1.33,10.12,6.15,-3.97,0
2.77,-1.6,6.3,4.47,-1.83,0
-6.61,-2.07,10.95,3.39,-7.56,0
0.71,2,5.39,2.69,-2.7,1
8.11,1.79,12.27,9.33,-2.94,1
0.63,0.35,6.47,5.97,-0.5,1
2.32,-0.98,5.05,3.32,-1.73,0
